din­ing	!din­ing/JJ NN
ultralight	CD NN IN NN NNS !ultralight/NN NN NN
inissia	CD NN IN NN !inissia/NN NN NN IN NNS
lift-away	CD NN IN NN !lift-away/NN JJ NN NN VV
5¢/	VV DT JJ NN NN NN NN SYM IN !5¢//JJ NN IN CD NNS IN NN IN PP$ NN NN
tony	VV NN IN DT !tony/JJ JJ NN SYM JJR NN NNS
cars	VV CD NN IN JJ NN !car/NNS VVP NN
vision	VV CD NN IN NN NN NN JJ NN NN IN NN !vision/NN
puppies	CC NN !puppy/NNS NN SYM RB TO NN IN JJ NN NNS
vxd-001-b	CD NN IN NN !vxd-001-b/NN NN NN NN NN
tub	VV CD NN IN NN NN DT JJ !tub/NN NN NN NN NN
3/	VV NN NN NP !@card@/CD JJ JJ NN NN NN
bootlegger	!bootlegger/NN NN NNS
australian	!Australian/JJ NN NN
cod	JJR !cod/NN IN NN
type-c	VV CD NN IN JJ NN NN NN !type-c/NN NN JJ NN NN NN NN
fountain	JJ JJ !fountain/NN NN WRB PP VVP DT JJ NN
honey	!honey/NN JJ VVN NN NN NN IN NN
merchanise	VV RB TO CD NN IN JJ !merchanise/NNS
tractor	VV CD NN IN JJ JJ NNS NP NNS NN !tractor/NN
$49.97	VV NN NN NN NN NN IN NN IN RB !$49.97/JJ IN JJ NN
please	!please/VV JJ NN
topping	DT JJ CD !top/VVG NN
danone	!danone/NP NP NP NN NNS
pro-clad	VV NN IN NN !pro-clad/NN JJ NP CD CD JJ NN NN NN
around-ear	VV CD NN IN JJ NN !around-ear/NN NN NN NN NNS
nesco	CD NN IN !nesco/NP JJ NN
bounce-a-saurus	CD NN IN NN JJR !bounce-a-saurus/NN
5-pc	DT JJ NN SYM JJ NN !5-pc/NN NN VVN IN DT JJ NN
10-day	VV DT JJ !10-day/JJ NN IN DT NN NN IN DT NNS NN
prison	CD NN IN !prison/NN NN NN NN
asprin	NN NN NN JJ NN SYM NN JJ NNS SYM !asprin/NN IN RB JJ
lattes	JJ VVN NN !lattes/NNS
anti-fog	!anti-fog/NP
height	NN !height/NN CD
freshly	JJ JJ VVN NN IN DT NN IN DT JJ NN IN DT JJ !freshly/RB VVN NN
risk	CD NN IN DT !risk/NN
elliptical	VV CD NN IN JJ NN !elliptical/JJ NN NN
dempsters	JJ !dempster/NNS CD NN JJ NNS NN IN NN NN
celebrating	JJ NN NN TO !celebrate/VVG DT JJ NN IN DT NN NN
interceptor	VV CD NN IN NN NN NNS NNS NN !interceptor/NN NN CD
roarin	VV CD NN IN JJ !roarin/NN NN
all-in-one	VV CD NN IN NN NN !all-in-one/JJ NN NN
liars	VV CD NN IN JJ JJ !liar/NNS
supersized	NN NN !supersized/JJ NN
rotary/	VV CD NN IN JJ JJ !rotary//NN NN JJR
contigo	!contigo/NN NN NN JJ JJ NN NN IN NN
printing	VV CD NN IN NN JJ NN JJ NN IN NN NN CC NN !printing/NN
text	!text/NN IN JJ NN
50g	JJ JJ NN !50g/NN WRB PP VVP DT JJ NN NN SYM CD NN IN NN NN CD NN SYM CD NN IN DT JJR NNS
babyliss	VV CD NN IN !babyliss/JJ JJ NN NN VV NN
tr1200-dt3	VV CD NN IN NN !tr1200-dt3/NN VVG NN NN
distance	VV CD NN IN JJ JJ NN !distance/NN NN
extreme3	NN CD !extreme3/NN NN NN NN IN NN
buckleys	!buckleys/NNS NNS VVD JJ TO JJ VVG NN
duchess	CD NN IN DT !duchess/NN IN NN NN
origin	JJ !origin/NN
superstore	JJ JJ !superstore/NN
blow	MD NP NN !blow/NN IN NN
colander	JJ NN !colander/NN
speakman	VV RB TO CD NN IN !speakman/NN NN NN JJ NN IN VVN NN
2-top	!2-top/JJ
lawsuit	NN NN NN !lawsuit/NN
headphone	VV CD NN IN NN NN NN !headphone/NN
tire	JJ !tyre/NN NN
cult	CD NN IN JJ NN NN !cult/NN
per	CD CD NN !per/IN NN
$110	!$110/NP
$31.31	IN !$31.31/JJ
mixstix	JJ NN !mixstix/NN
cameo	CD NN IN NN !cameo/NN CD NN NN
mobil	!mobil/NN CD JJ NN NN IN NN
dkny	!dkny/NP
25-dvd	!25-dvd/JJ VVN
levers	CD NN IN JJ NN NN !lever/NNS
stunt	CD NN IN JJ NNS VVP CC DT NN NNS NN !stunt/NN NN NN VVD
miller	VV CD NN IN NN !miller/NN
trap	CD NN IN NN JJ NN !traprock/NN
cams	NN !cam/NNS JJ IN NN
stainless	!stainless/JJ NN
ieee	NNS CD VBZ RB JJ TO !ieee/NN
travelers	CD NN IN !traveler/NNS NN NN NN NN
around	VV JJ NNS NN !around/IN NN
gelpacs	NN CC !gelpacs/NNS JJ NN
gibson	JJ IN !gibson/NN NN NN
trophy	CD NN IN NP !trophy/NN JJ
truffle	VV CD NN IN NP NP NN NN NN !truffle/NN NN
hardware	JJ CC NN !hardware/NN
tt	VV CD NN IN NN NN !tt/NN JJ NN
masha	!masha/NN CC DT NN IN JJ NN
tuesday	NN NN NP !Tuesday/NP NP NN NNS
chase	CD NN IN NN CC PP$ NNS IN DT NN !chase/NN NN NN
tunes	VV CD NN IN JJ !tune/NNS JJ NN NN
twist	VV CD NN IN IN NN NP JJ !twist/NN DT NN NNS
binding	DT !binding/JJ IN NN IN NN
$44.97	IN !$44.97/JJ
learning	JJ !learning/NN IN JJ NN
filled	VV JJ NN !fill/VVD VV NN
mardi	VV JJ !Mardi/NP NNS NN NN
lays	VVP !lay/VVZ NNS JJ IN RB JJ
beanboozled	CD NN IN NN NN !beanboozled/NN NN NNS NN NN NN
moisurizer	JJ NN NN VVG !moisurizer/NN NN
7200	NN !@card@/CD NN JJ NN IN NN
printabele	NN NNS NN !printabele/NN NNS
calciumtrial	VV DT JJ NN !calciumtrial/JJ NN
fine	VV CD NN IN !fine/JJ NN
sexy	PP$ NN IN !sexy/JJ NNS
campers	NN NN DT JJ !camper/NNS NN NN
beeswax	NN NNS !beeswax/NN CD NN JJ NN NN
ben	!ben/NP
eclipse	VV CD NN IN DT NP !eclipse/VV NN NN VVD RB IN NN
multisport	VV CD NN IN NN NN CD NN NNS !multisport/NN NN
perkins	!perkins/NNS NNS
sinks	!sink/NNS
store	VV CD NN IN JJ !store/NN
teal	JJ !teal/NNS VVP NN NN
letters	!letter/NNS
walking	CD NN IN DT !walk/VVG JJ NN CD NN
wax	JJ VVG !wax/NN IN NN
westjet	!westjet/NN NNS VVP NN
currambera	VV CD NN IN DT NN !currambera/NN NN NN JJ NN
della	VV CD NN IN NN JJ !della/NN NN NNS JJ NN NN
12oz	JJ !12oz/NP NN CC VV JJ
swimmers	VV CD NN IN NNS JJ !swimmer/NNS
avengers	NNS DT !avenger/NNS JJ NN IN NN
wonders	VV IN NN CD NN IN NN !wonder/NNS NN
$45,000	!$45,000/NN IN JJ JJ NNS
hemisphere	VV CD NN IN NN !hemisphere/NN NN NN
centre	NP NP JJ NN !center/NN JJ NN NNS SYM NN NN CD CD
$345	JJ !$345/NN
bonus	NNS NN NN NN NNS !bonus/NN NN NNS
eastern	NP NP !eastern/JJ JJ JJ NNS
ink	CD !ink/NN NNS
standing	VV CD NN IN JJ JJ !standing/NN NN
wow	VV CD NN IN NP !wow/NN NP NN IN NNS
giant	!giant/JJ NN NN JJ NN
billy	VV CD NN IN !billy/NN NN NN JJ JJ NN NN
$154	!$154/JJ NN
backrest	VV CD NN IN JJ CD NN NN IN NN NN !backrest/NN
hyndai	VV CD NN IN !hyndai/NNS JJ
perfectly	VV RB TO CD NN RB RB VVZ !perfectly/RB
reversible	VV CD NN IN NN NNS !reversible/JJ NN
rice	CD NN IN NN NN !rice/NN NN
surround	CD NN IN NN NN !surround/VVP JJ NN
dinnerware	VV CD NN IN NN NN NN JJ !dinnerware/NN NN
chainsaw	!chainsaw/NP
89	!@card@/CD NN IN VVG JJ NP NN
epic	NN NN DT JJ !epic/NN NN IN JJ NN IN CD RB
falcon	VV CD NN IN NN NNS NN NN NN !falcon/NN NN
flight/	NN NN !flight//NN NNS NN NN
cheermageddon	JJ NN JJ NN !cheermageddon/NN JJ NNS
elizabeth	VV CD NN IN !Elizabeth/NP NP NN NN
biotherm	NNS NN !biotherm/NN NN NNS
haul	NN NNS VVP NNS !haul/VV NP NN NN
internal	CD NN IN JJ !internal/JJ JJ NN NN
biggest	NN NN !big/JJS NN
jumanji	!jumanji/NNS
3.78	!@card@/CD NN
keepsake	VV CD NN IN NN !keepsake/NN CD NN NN NN NNS NN
mother	VV CD NN IN WRB NP VVD PP$ !mother/NN
$600	VV !$600/NN RP
$3.99	!$3.99/NN IN NN
london	!london/NN NN
person	CD NN IN NN NNS NN CD !person/NN NN JJ NN
gotta	!gotta/VV VV PP CD CD NN NNS
$199.60	RB IN !$199.60/NN IN JJ NN
evr-e-r	CD NN IN NN !evr-e-r/NN NN JJ NN
penningtons	!penningtons/NPS NP VVZ
silpada	CD NN IN !silpada/NN NN NN NN NN CC NN NN
arthur	CD NN IN NN !arthur/NN DT NN IN DT NN
bizarre	CD NN IN JJ !bizarre/JJ NN CD NN NN NN
headstrap	VV NN IN NN NN NN !headstrap/NN NN
drill	CD NN IN NN !drill/NN
brands	VV CD NN TO CD NN IN JJ !brand/NNS
skyas	VV CD NN IN NN !skyas/NNS JJ NN NN NN
$234.05	IN !$234.05/NN
spiralizer	CD NN IN NN NN JJ !spiralizer/NN
630	VV CD NN IN NN NN !@card@/CD
sunset	VV CD NN IN NN NN NN NNS NN !sunset/NN NN NN
4.08l	!4.08l/JJ
test	VV CD NN IN NN NN JJ NN !test/NN SYM IN CD NN IN JJ NN NNS SYM JJ JJ NN NN
fry	CD JJ JJ NN SYM CD JJ !fry/NN IN NN
wake-up	VV CD NN IN JJ !wake-up/JJ JJ JJ NN NN
course	VV PP$ JJ CD !course/NN JJ NN IN NN
cos-118	VV CD NN IN NP !cos-118/NN JJ CD NN NN
double	VV CD NN IN JJ !double/JJ JJ NN NN IN CD NN CC VV NN
right	VV CD NN IN NN NN !right/RB JJ NN VV NN
softshell	VV CD NN IN NP NP NN !softshell/NN NN
spearmint	VV CD NN IN NP JJ NN NN JJ !spearmint/NN NN
lab	CD NN IN NN !lab/NN NN
25%off	VV CD NN IN NN CC !25%off/JJ NN
outerbox	VV CD NN IN !outerbox/NN IN NN CD NN
chaos	VV CD NN IN NP NP NN NN !chaos/NN
auto	VV CD NN IN NN NN NN !auto/NN VVG VVG NN
dipped	VV !dip/VVN NN NNS
blendte	NN NN NN IN NP SYM CD NN IN !blendte/JJ JJ NN
handcuts	NP JJ NN JJ !handcuts/NNS NNS
$4.50	NN JJ NNS NN IN !$4.50/NN
4:00	IN CD VBP !@card@/CD NN
assortment	NNS NN !assortment/NN
cheese-grater-vegetable-slicer	CD NN IN !cheese-grater-vegetable-slicer/JJR JJ NN NNS
lynx	CD NN IN NNS VVG !lynx/NN NN
specially	JJ JJ NN NNS IN !specially/RB JJ NNS
stickers	VV PP$ JJ NN !sticker/NNS
perk	NN NNS VVP PP !perk/JJ JJ NP NNS
screemers	!screemers/NNS
9	NN !9/CD
moose	!moose/NN NNS
ihome	VV CD NN RP IN !ihome/NN NN NN NN
bda	VV CD NN IN NP !bda/NP NN NN
lowes	!lowes/NN NN NNS
multi-surface	NN CD NN !multi-surface/NN JJ JJ JJ NN IN JJ
class	NN !class/NN NNS
checkout	VV DT JJ NN WRB PP VVP NN !checkout/NN
tattoo	VV CD NN NN NNS NN !tattoo/NN NN
24-hour	NN NN !24-hour/JJ NN NN
clone	DT !clone/NN NNS
$8.90	IN !$8.90/NN
kiehls	!kiehls/NNS NN NN
into	!into/IN DT JJ NN NN
60ml	CD JJ !60ml/JJ NNS IN NN NNS
leclerc	!leclerc/NN NN NNS
lover	NN !lover/NN NNS
time	NN NN NN NNS JJ !time/NN NN NN
lego	CD NN IN !lego/NN
post-it	VV CD NN IN !post-it/JJ JJ JJ NNS
complimentary	VV CD NN JJ NN SYM JJ !complimentary/JJ NN NN IN NN
lifesmart	VV CD NN IN VV IN NNS NN NN JJ NN NN SYM CD NN IN !lifesmart/JJ JJ NN JJ NNS
2-pounds	VV CD NN IN NP JJ NN JJ NN VVG NN !2-pounds/JJ
foodsaver	CD NN IN !foodsaver/NN JJ NN VVG NN IN JJ NN
$14.25	CD MD VV CD NN NN IN !$14.25/NN
$95.00	!$95.00/NP
15-20	VV CD NN IN NP CC NP NN NN SYM CD NN JJ NN SYM JJ !@card@/CD NN RP
beverage	VVN NN !beverage/NN IN JJ NN
cleansing	VV CD NN IN NN NNS JJ CD NN JJ !cleansing/NN
lucien	CD NN IN !Lucien/NP NN NP NN
80	VV RB TO !@card@/CD NN IN JJ NNS
$479.99	JJ NN JJ VVN NN IN !$479.99/NN IN NN
items+	VV CD NN IN JJ !items+/JJ JJ NN IN NN SYM NP NN
fit	VV CD NN IN JJ !fit/NN NN
pull-down	VV CD NN IN NP NP NP !pull-down/JJ NN NN
tag-along	VV CD NN IN JJ NN IN CD CC !tag-along/JJ NN
pokemon	NN !pokemon/NN VVP NN IN NN
5000lumen	VV CD NN IN !5000lumen/NP VVD NN
horse	VV CD NN IN JJ NNS NN !horse/NN CC NN
loss	NN !loss/NN
chronograph	VV NN IN NN NP NP JJ NN NN IN !chronograph/NN
25x	RB TO CD NN RB SYM VV !25x/JJ NNS NN NNS IN JJ NN SYM JJ NN
satin	!satin/NN NN
wholehome	VV CD NN IN !wholehome/NN NNS
wwe	CD NN IN !wwe/NP
$2.49	NN NN IN !$2.49/NN
$36.99	VV IN !$36.99/NN
bakelite	CD NN IN NN NN !bakelite/NN NN NN NN
ears	VV NN IN JJ !ear/NNS NN CD NN NN NN NN
5/	VV CD NN IN NN IN NN !@card@/CD NN
gifts	NN !gift/NNS
iso	VV CD NN IN JJ NN NNS VVG !iso/NN
meeting	IN NN NN !meeting/NN NN JJ
skylanders	VV !skylanders/NNS VV VV JJ NN IN NN NNS
directcanada	!directcanada/NN
$39.13	NN JJ CD JJ JJ NN NN IN !$39.13/NN
refractor	VV CD NN IN JJ NN !refractor/NN NN
desk	VV CD NN IN NN !desk/NN NN NN
trainor	VV CD NN IN !trainor/NN NNS JJ NN CC NN NN
major	CD NN IN !major/JJ NNS
oregon	VV NN CD NN NN NN !Oregon/NN NN NN IN NP SYM CD NN IN DT NNS NNS
seahawk	CD NN IN NN !seahawk/NN CD
concession	JJ NNS SYM VVN !concession/NN
countdown	NN !countdown/NN TO NNS JJ NN NN IN NN
s805	VV CD NN IN JJ JJ NN NN JJ !s805/NN NN NN VVG NNS NN
solo	NN !solo/NN IN NN
cocopa	VV IN CD NN IN !cocopa/NN JJ NN NN NN
cup	JJ !cup/NN NN NNS
episode	VV CD NN IN NN NNS !episode/NN NN NN NN
$32.59	IN !$32.59/NN
24$	!24$/JJ IN NN NN JJ NN CD
24to	VVP !24to/JJ NN CD
3-wick	!3-wick/JJ NNS
kona	VV DT JJ NN IN NN !kona/NN NN
mixed	!mixed/JJ NNS IN RB JJ DT
piece	CD !piece/NN
7-pc	VV CD NN NP JJ NN !7-pc/NP VVD IN NN
sparrow	CD NN IN JJ !sparrow/NN
martha	VV NN IN !Martha/NP NP NP VVD NN NN NN IN NN
$59.00	NN IN !$59.00/NN
$3.00	VV !$3.00/NN IN DT NN
$57	JJ NN NP NN IN !$57/JJ IN NN
3,000	NN !@card@/CD CD NN IN NN NNS JJ RB
appearances	VV CD NN IN VVG RP !appearance/NNS
$129.96	NN JJ IN !$129.96/NN
$9.51	VV !$9.51/JJ CD NN
clarisonic	VV CD NN IN !clarisonic/JJ NNS
duncan	JJ IN !duncan/NN NNS VVD NN NN NN
gathering	RB CD NN NN !gathering/NN NN
ad6	VV CD NN IN NP !ad6/JJ NN NN NN
golden	VV CD NN IN JJ NNS !golden/JJ NN NN
helmet	VV CD NN IN NN NN NN NN VVG VVG !helmet/NN
hx40	VV CD NN IN NN NN !hx40/NN JJ VVN NN NN NN
mobile	NN !mobile/JJ
neck	VV CD NN IN NP JJ NN JJ !neck/NN NN
overpiece	VV NN IN DT NNS NN CC !overpiece/NN IN NNS NN
patchwork	VV CD NN IN NN NN JJ !patchwork/JJ NN NNS NN NN
$43.38	IN !$43.38/NN
botvac	VV CD NN IN NN NNS !botvac/NP NP NN NN
coco	JJ !coco/NN NN NN
$7.40	VV CD NNS IN !$7.40/NN
microphones	CD NN IN JJ !microphone/NNS JJ NN NN
minipro	VV CD NN IN NN !minipro/NN
irwin	CD NN IN !irwin/JJ NN NN
kalani	VV CD NN IN NP !Kalani/NP JJ JJ NN
exter	VV CD NN IN NP NP NN JJ JJ NN SYM !exter/NN NN IN JJ NN
kane	VV CD NN IN NN !kane/NN
brio	VV CD NN IN !brio/NN NN NN NN
guardline	!guardline/JJ JJ NN NN NN NN IN NN
$16.95	!$16.95/JJ NN
inanny	CD NN IN !inanny/JJ JJ NN NN NN
alf	VV CD NN IN !alf/NN
mums	VV CD NN !mum/NNS
+save	CD NN IN JJ NN !+save/NN DT JJ CD NN IN NP NN
pee-wee	VV CD NN IN NN JJ !pee-wee/NN NN NN
reads	CD NN IN JJ VV !read/NNS JJR CC JJR
rexal	!rexal/JJ NN NNS
selling	VV CD NN RP IN JJ JJ !selling/NN NNS
sharkninja	CD NN IN !sharkninja/NN NN NN
shin	CD NN IN !shin/NN NN NN
bar	!bar/NN NN NNS
anjou	VV CD NN IN !anjou/NN NN NNS
$0.33	VV NN NN IN NNS IN !$0.33/NN RB SYM IN CD NN IN JJ NNS
break	JJ JJ NN NNS NN !break/NN
58	VV !@card@/CD NN IN NN NN JJ JJ NN
$29.94	VV CD NN IN NNS JJ NN NN RB IN !$29.94/NN
$6.84	IN !$6.84/NN
monitors	VV CD NN IN JJ NN !monitor/NNS IN NN
perfections	CD NN IN NN !perfection/NNS NN NN
purr-fect	DT !purr-fect/NN VV
drops	VV NN IN JJ NNS NN !drop/NNS
stocking	VV NN RB VVZ NN NN SYM RB TO CD NN IN !stock/VVG NNS
tent	VV CD NN IN IN DT NN VVZ JJ JJ !tent/NN
thank	!thank/VV PP NN
toiletry	VV CD NN IN NN NN NN NN CD NN VVN IN NN CC !toiletry/NN NNS
toques	VV RB TO CD NN JJ NN SYM JJ CD NN IN !toque/NNS
powerbolt	CD NN IN NN !powerbolt/NN CD JJ NN
13-14	VV CD NN JJ NN CC CD NN NN NN NP !@card@/CD
spinscrub	VV NN NN NN !spinscrub/NN NN JJ NN
ud20015	VV CD NN IN NN NN !ud20015/NN JJ NN CC VV JJR
usd	VV CD NN IN NNS IN JJ !usd/NN CC JJR
vacation	CD NN IN NN NN CD NN !vacation/NN
polarized	NN NNS !polarize/VVN VVP NNS IN NN
cokes	NN CD !coke/NNS SYM CD NNS IN JJ NN
shut-off	VV CD NN IN NNS JJ NN NN NN !shut-off/NN
vera	CD NN IN !vera/NN
villa	NN IN CD IN JJ NN SYM NNS IN !villa/NN NNS
84-piece	VV !84-piece/JJ JJ NNS NN IN JJ NN
waste	VV CD NN IN JJ JJ NN NN JJ !waste/NN NNS SYM CD NN IN JJR NN NN SYM JJ NN NN IN DT JJ CD NN RP
western	NP NP !western/JJ JJ JJ NNS
crop	VV RB TO CD NN IN !crop/NN NNS
wrangler	VV CD NN IN JJ !wrangler/NN NP NN NN
chug	CD NN IN NN !chug/NN NN
$90.00	VV !$90.00/NN IN NN JJ JJ NN NN NN NN
full/	VV CD NN IN NNS CD NN CD NN VVD JJ JJ !full//NN NN NN NN NN
cereals	VV CD NN IN JJ NNS JJ !cereal/NNS
save50	!save50/JJ NN IN NN NN NN NN NN NN
buttocks	CD NN IN NN NN NN JJ !buttock/NNS NN NN NN
bowls	VV CD NN IN NN NN NN VVP NN !bowl/VVZ VVN
adventure	VV CD NN IN NN NNS !adventure/NN NN NN NN NN NN
648	!@card@/CD NN
purchased	VV RB TO CD NN IN PP$ NN !purchase/VVD JJ
256	JJ NN !@card@/CD NN NN NN NN IN JJ
mike	VV CD NN IN NN IN !mike/NN NNS IN NN IN VV
pirate	VV CD NN IN JJ NN NN NN !pirate/NN NN
vacuums	VV CD NN IN NN !vacuum/NNS
21st	NN JJ TO !21st/JJ
simon	!simon/NN NN
trolley	CD NN IN NN NN DT JJ !trolley/NN
sous	VV CD NN IN JJ NN !sou/NNS NN NN NN
$240	VV !$240/NN IN NN NN IN NN JJ JJ NN NN
mighty	VV CD NN IN !mighty/JJ NN NN NNS
tb	NN CD !tb/NN NN CD JJ JJ NN IN NN
count-	CD !count-/NN
proscan	VV NN IN !proscan/JJ JJ JJ VVN JJ NN NN
duffalo	!duffalo/NP NP NP NP NN NN
nutella	VV JJ !nutella/NN NN IN NN NN SYM CD NN IN NNS
was	!be/VBD JJ
cbc	NNS !cbc/NN NN NNS NN
2-litre	DT NN IN JJ NN CC DT !2-litre/JJ IN NN
grommet	CD NN IN NN JJ NN JJ !grommet/NN JJ NN NN NNS
m4	JJ !m4/NN CD NN NN NN NN IN JJ
bang	CD NN IN DT JJ !bhang/NN NN
favourite	VV NN IN PP$ !favourite/JJ JJ
motorola	VV CD NN IN !motorola/NN JJ JJ JJ NN NN
other	RB TO CD NN IN !other/JJ NN NNS
$28.34	JJ DT JJ JJ NN IN !$28.34/NN
290-piece	!290-piece/JJ
$44.98	CD NN NNS IN !$44.98/NN
amope	VV CD NN IN !amope/NN JJ NN NN
channellock	VV CD NN IN JJ !channellock/NN NNS
10-100	NN NN VVP !@card@/CD NN IN PP$ JJ NN
always	NN IN !always/RB
expression	RB TO CD NN IN NN NN IN !expression/NN
hyundai	VV !Hyundai/NP JJ NN NN IN RB JJ
2pm	VVP CD JJ IN DT NN NNS IN !2pm/JJ TO JJ NNS NN
all-clad	VV CD NN IN !all-clad/JJ CD
battery-powered	VV CD NN IN NP NN !battery-powered/JJ JJ NN NN
cellphone	CD NN IN NN NN CD VVD !cellphone/NN
fiat	JJ NN NN IN DT !fiat/NN CD
chefs	CD NN IN JJ !chef/NNS NN
a535	VV NN IN DT NN !a535/NN NN
$50+	VV DT JJ CD NN JJ NN SYM JJ NN IN PP$ !$50+/JJ NN
curve	VV CD NN IN JJ NN !curve/NN NN
dino	CD NN IN NN NN CC NN !dino/NN
fiction	CD NN IN NN !fiction/NN NN NNS
fitted	JJ JJ !fitted/JJ NN NN IN NN
$52	!$52/JJ NN
dre	!dre/NN NN NN JJ JJ NN NN
android	VV CD NN IN NN NN JJ NN !android/NN NN NN SYM CD NN IN NN NN NN SYM JJ NN NN IN DT JJ CD NN RP
armrest	VV CD NN IN NN NN JJ JJ NN NN NN IN JJ NN CC !armrest/NN
montanas	!montanas/NNS JJ
75094	VV CD NN IN NN NN NNS JJ NN NN !@card@/CD NN NN
contaminant	JJ !contaminant/NN NN
fast	VV CD NN IN !fast/JJ
nikkor	NN NNS !nikkor/JJ NP NN JJ NN IN NN
parfum	VV JJ NN NN NN NP NP !parfum/NN
$111.99	VV NN JJ CD NN NN NN NN NN IN !$111.99/NN
designed	NN NN NN NN JJ NN !design/VVN NN IN NN
e-birthday	NN NNS JJ !e-birthday/NP JJ NNS
four	VV CD NN IN VV JJ NN !four/CD NN NN NN
michaels	!michaels/NNS
5.9	NNS NN NN !@card@/CD NN IN NNS JJ SYM JJ NN
boxed	CD NN IN !box/VVN NN NNS
pataks	JJ IN WRB PP VVP !pataks/NNS JJ NN
hybas	VV CD NN IN !hybas/NNS NN NNS
pineapple	CD NN NN !pineapple/NN NN NN NN
play	VV CD NN IN NN NN NN NN !play/VVP JJ NN
pop	JJ JJ NN !pop/NN WRB PP VVP DT JJ NN
freshen	DT NN NN NN !freshen/VV RP NN
receive	!receive/VV CD NN JJ NN NNS
af	NN !af/NNS JJ NP NN JJ NN IN NN
rid	VV NN NN JJ TO !rid/VV NN IN RB JJ
missions	JJ NN IN !mission/NNS
pricesmart	!pricesmart/NN NNS
riverland	JJ IN !riverland/NN NNS IN NN
$11.95	JJ JJ NNS !$11.95/NN RB SYM NN TO VV NN IN DT JJ NN SYM IN CD NN RP
headrush	VV !headrush/NN JJ NN IN NN
kat	VV CD NN IN JJ JJ JJ NN !kat/NN CD NN IN NN CC NN
singin	CD NN IN !singin/NN IN DT NN JJ NN JJ NNS NN
spell	CD IN NN VVP NN !spell/NN NN NN
cookset&	VV CD NN IN NN !cookset&/NN JJR NNS
adult	VV NN IN CD !adult/NN NN NNS
maxextract	VV CD NN IN NN !maxextract/NN CD NN JJ NN RB JJR
othere	CD NN IN !othere/NN NN
cetaphil	!cetaphil/NN NN NNS IN NN
chefn	VV CD NN IN !chefn/NN NN NN VVP NN VVZ VVN
k550	NN !k550/NN NN IN NN
$284	!$284/NN IN NP NP JJ JJ NN IN NN NN
keeper	VV CD NN IN NN NN JJ NN NN !keeper/NN NN
pico	VV CD NN IN JJ NN NNS !pico/NN NN
quote	CD NN IN NN NN NN JJ NN !quote/NN NN
retail	!retail/JJ NN JJ
rubies	VV CD NN IN NN NN JJ JJ NN !ruby/NNS NN NN
$32.92	JJ NN IN !$32.92/NN
bronze	VV NN JJ !bronze/NN NN NN NN JJ NN NN IN JJ NN SYM JJ NN
mcgame	!mcgame/NN
projectors	!projector/NNS SYM JJ NN NNS
static	VV CD NN IN NN VVN !static/JJ NN VVG NN
1000	NN IN !@card@/CD
16-in	!16-in/NP
poster	IN DT JJ !poster/NN NN
*printable	NN CC NNS !*printable/JJ NN
bark	VV CD NN IN NN !bark/NN NN JJ NN NN NN
melt	VV NN !melt/VV IN NN IN DT NN IN DT NN NN NN
motorbike	CD NN IN NN JJ VVP CC VV !motorbike/NN
stick	NN NN JJ JJ NN NN JJ !stick/NN NN
output	JJ NN NN VVN IN NN NNS CC JJ !output/NN NN NN
$688	VV NP NN NN VVN IN !$688/NN RB SYM IN RB TO CD NN IN JJ NNS
ios	CD JJ !ios/NNS NNS CC NNS
plasticover	CD NN IN !plasticover/NN NN NN NN
styyles	JJ CD NN IN NN !styyles/NNS SYM JJ NN IN DT NN
seiko	!Seiko/NP
3050	VV !@card@/CD NN IN NN NNS IN NN NN
tenders	JJ NN !tender/NNS NN IN NN
die	CD NN IN !die/NN JJ NN
tilden	CD NN IN NNS !tilden/JJ NN NN NNS
cookis	VV PP CC VV CD CD NN RP IN NN !cookis/NNS NN NN NN
tin	IN NP CC NP NN !tin/NN
tight	RB JJR !tight/JJ JJ NN NN NN
titlesn	VV RB TO CD NN IN JJ NN !titlesn/NNS
curved	VV CD NN IN NP CD NN !curve/VVD VVN JJ NN IN JJ NN
holmo	!holmo/NN NN NN IN NN
nitrotech	CD NN IN NN !nitrotech/NN NN NN NN
topman	!topman/NN NN IN NN NN
trade-in	NN NNS !trade-in/NN VVZ
ingenuity	CD NN IN !ingenuity/NN NN JJ JJ NN
pressure	CD NN IN JJ NN JJ JJ !pressure/NN NN
amscope	CD NN IN JJ !amscope/NN NN NNS CC NNS
houses	VV CD NN IN JJ NN !house/NNS
dale	CD NN IN !dale/NN NN NN NN NN
letour	NN IN NNS !letour/NN NN NNS
sofas	DT !sofa/NNS
res­i­dents	!res­i­dents/NNS IN NN
6:00	NN NN CD IN !@card@/CD NN TO JJ NN IN CD VBP NP
glasslock	JJ JJ NN NNS NNS CC NN NN IN !glasslock/NN NN NN NNS
bracelet	VV CD NN IN NN NN NP NN CD NN JJ !bracelet/NN
gymnastics	VV CD NN IN JJ NNS JJ NN NNS !gymnastics/NNS NN NN NN
lazy	VV CD NN IN NN !lazy/JJ NN NN NN NN
matchables	VV CD NN JJ NN SYM JJ !matchables/NNS
snowman	VV JJ NN !snowman/NN NN IN NP SYM JJ NN SYM DT NNS
sofia	CD NN IN NN !sofia/NN DT JJ NN
tacos	VV CD JJ NN !taco/NNS
9-film	VV CD NN IN JJ NN !9-film/NN NN SYM NN IN NNS
6v	VV CD NN IN NP !6v/NP NP NN NN NN
tart	VV JJ NNS NN VVP !tart/JJ NN
