#31	VV CD CD NN IN NN NN !#31/NN
$	IN !$/$ CD
gently	CD NN IN NN !gently/RB NN CD
geo	VV CD NN !geo/NN NN NN JJ IN NN IN NN
geographic	CD NN IN JJ !geographical/JJ JJ NN NN VVD
geometric	VV CD NN IN !geometric/JJ NN SYM JJ CD NN IN JJ NN
george	CD NN IN !george/NN RB NN CD
geostorm	CD NN IN !geostorm/NN
geoupon	!geoupon/NN NN NNS NN RB VVG NN
geox	!geox/NN
ger	!ger/JJ JJ NN CD NNS
geraniums	VVG JJ JJ !geranium/NNS
geratherm	!geratherm/NN
gerber	VV CD NN IN !gerber/NN JJ NNS NN NN JJ NN NN NN NNS IN NN
germany	VV CD NN IN NN JJ NN CC JJ NN NN NN VVN IN !germany/NN
germe	NN CC VVD NN !germe/NN NN SYM CD NN NNS
geroupon	!geroupon/NN NNS VV RP NN NN
get	!get/VVP CD JJ
get2	!get2/JJ JJ NN NNS NNS
getaway	!getaway/NN NNS
getaways	!getaway/NNS NNS
gets	DT JJ NN !get/VVZ PP CD JJ NNS NNS
gett	!Gett/NP JJ NN NN NP NN NN
getv2	!getv2/JJ JJ NNS IN NN
gevalia	NN CC !gevalia/NN NN NN NNS
ghost	VV CD NN IN JJR !ghost/NN NN NN CD
ghostbusters	CD NN IN NN NNS NN NNS JJ !ghostbuster/NNS NN NN
ghosts	!ghost/NNS NN CD NN NN
giant	!giant/JJ NN NN JJ NN
gibson	JJ IN !gibson/NN NN NN
giddy	NN JJ NN !giddy/JJ JJ NN NN
gift	VV NN VV JJ !gift/NN NN VVP CD NN NNS SYM NNS NNS
gifted	CD NN IN !gifted/JJ NN
gifting	NN NN NNS NN RB !gift/VVG NN
gifts	NN !gift/NNS
giftset	DT JJ NN JJ NN !giftset/NN
gig	RB TO CD NN IN !gig/NN NN NN
giga	VV NN IN NNS !giga/NN NN NNS
gigabit	VV CD NN IN NN NN !gigabit/NN NN NN IN NN NN
gigabyte	!gigabyte/NN NN NN CD IN NN
gillette	!Gillette/NP
gilligans	VV CD NN IN !gilligans/NNS NN
gilmore	CD NN IN !gilmore/NN NNS
gingerbread	VV NN NN NN JJ NN JJ !gingerbread/NN NN IN NN NN
ginsu	CD NN IN !ginsu/NN NN NN NN NN NN
gio	!gio/NN NN JJ NN IN NN
giraffe	VV CD NN IN JJ NNS VVP CC VVP JJR NN !giraffe/NNS
giraffy	CD NN IN JJ JJ !giraffy/NNS
girl	VV CD NN IN JJ NNS JJ !girl/NN NNS NNS NN NN NN
girls	CD NN IN NN !girl/NNS
girly	JJ !girly/JJ NNS NN
git	NNS JJ !git/NN
gitch	VV PP$ JJ !gitch/NN NN
give	JJR !give/VVP DT NN IN NN IN NN
give-a-way	NNS JJ NN JJ NN !give-a-way/NN
giveaway	NNS NN NN !giveaway/NN
giveaways	NN IN JJ JJ !giveaway/NNS
given	CD NN NNS TO VB !give/VVN RB
givenchy	VV JJ NN IN !givenchy/JJ NN
giving	NN NN CD NNS IN !give/VVG NNS
glad	CD NN IN !glad/JJ NN NN NNS
glade	MD !glade/NN JJ NN
glam	CD NN IN NN !glam/NN NN
glamglow	VV RB TO CD NN IN !glamglow/NN
glamour	VV CD !glamour/NN VVP CD JJ
glass	JJ NN !glass/NN JJ NN IN NN JJ IN NN
glasses	VV PP$ JJ NN IN !glass/NNS JJ
glasslock	JJ JJ NN NNS NNS CC NN NN IN !glasslock/NN NN NN NNS
glassware	VV CD NN IN DT !glassware/NN VVZ
glaxosmithkline	!glaxosmithkline/NP
glazed	NN JJ !glaze/VVN NN NN NN IN NN
gleam	CD NN IN NN !gleam/NN JJ NN
gleaming	VV CD NN IN !gleam/VVG NNS
glee	VV CD NN IN !glee/NN
glide	VV CD NN IN JJ JJ NN NN !glide/VV JJR JJ NN
glider/	VV NN JJ !glider//NN NN IN RB NP
glitter	CD NN IN NN !glitter/NN NN NN
glo	VV CD NN IN NN !glo/NN NN IN JJ NNS
globber	CD NN IN !globber/NN CD NN JJ NN
globe	CD NN IN NP NP !globe/NN NN
globmall	!globmall/NN CD NN NN IN NN
globo	!globo/NN NNS NN VVZ
gloss	VV DT NN NN NN CC NN !gloss/VVP CC VVP CD JJ
gloves	!glove/NNS
glow	CD NN IN NN CD NN !glow/NN JJ NN VVG
glowing	JJ JJ NN NN IN !glowing/JJ NN
gluckstein	VV CD NN IN !gluckstein/NN NN NN NNS CC NN NN NNS
glucksteinhome	VV CD NN CD NN IN !glucksteinhome/NN NNS
glucksteinhomes	VV RB TO CD NN IN !glucksteinhomes/NNS JJ IN NNS
glue	VV CD NN IN JJ JJ NN NN JJ !glue/NN
gluten	CD NN IN !gluten/NN JJ NN
gnarlyfish	VV CD NN IN !gnarlyfish/JJ JJ NN IN NN CD JJ NN
gnome	CD NN IN NN NN NN JJ NNS NN !gnome/NN NN
gnomes	NN !gnome/NNS NN IN JJ NN IN CD RB
go	!go/VV
go-kart	VV CD NN IN NP NN JJ JJ NN !go-kart/NN
go-to	VV DT JJ CD NN IN PP$ !go-to/NN NNS IN DT NN
goblin	DT !goblin/NN NN NN NN
gocoupons	!gocoupons/NNS
god	VV CD NN IN VVG IN !god/NN
godaddy	!godaddy/NN
goddess	CD NN IN !goddess/NN NN
godfather	VV CD NN IN DT !godfather/NN NN
godiva	VV CD NN IN !godiva/NN NNS
gods	CD NN IN JJ !god/NNS NN CD
godzilla	CD NN IN NN !godzilla/NN NN
goes	IN NN !go/VVZ IN CC JJR NNS
goflex	VV JJ !goflex/NN NN CD NN JJ JJ NN IN NN
gofloats	VV CD NN IN !gofloats/NNS NN NN NN NN NN
goggles	VV CD NN IN NN !goggle/NNS
going	CD NN IN !go/VVG IN NN
gold	!gold/JJ JJ NN
gold-tone	VV CD NN IN NP NP NP !gold-tone/NN NN
gold-tone/	JJ JJ NN !gold-tone//NN JJ NN JJ NN NN
golden	VV CD NN IN JJ NNS !golden/JJ NN NN
goldfish	!goldfish/NN NNS NNS
golds	VV CD NN IN !gold/NNS NN JJ NN
golf	VV CD NN IN NN NN NN !golf/NN NNS
golite	JJ !golite/NN NN IN NN
gondola	VV CD NN IN NN NNS NNS !gondola/NN
goobang	VV CD NN IN !goobang/NN NN NN NN CD NN NN NN
good	RB VVD !good/JJ DT NN VVG NN NN NN
goodies	!goody/NNS IN NN
goodlife	!goodlife/NN NN NNS
goodnites	!goodnites/VVZ NN NNS
goods	CD NN IN !good/NNS
goody	!goody/NN NN NN NN
goofys	!goofys/NN NN
goog	VV NN IN NN IN !goog/NN NN NNS
google	!google/NN NN
goose	VV CD NN IN NN JJ !goose/NN IN JJ VVN NN
gopro	CD NN IN !gopro/NN NN
gordita	VV JJ NN !gordita/NN NN
gordon	RB TO CD NN IN !gordon/NN NN NN NNS
gorgeous	VV DT !gorgeous/JJ NN IN NN
gossip	VV CD NN !gossip/NN NN
gotham	CD NN IN !gotham/NN
gothem	NP NP VVZ !gothem/NN NNS JJ TO DT NN IN JJ NN
gotta	!gotta/VV VV PP CD CD NN NNS
goty	NN NN NN !goty/NN IN NN
gourmet	IN !gourmet/NN NN NN NN NN
gowise	VV CD NN IN !gowise/NN NN JJ NN JJ NN NN IN NN NN NN
gown	VV CD NN IN NN CC DT NN JJ NN NN NNS NN !gown/NN NN
gp2200i	VV CD NN IN NN CD !gp2200i/NN CD NN JJ NN NN
gps	CD NN IN JJ JJ !gps/NNS NN
grab	VV CD NN IN JJ NNS !grab/VVP NN VV NN NN
grabit	!grabit/JJ JJ NN NN IN JJ
graco	VV CD NN IN !graco/NN NN NN VVP JJ NN
grade	VV CD NN IN NP JJ JJ NN NN JJ !grade/NN NN JJR
grads	!grad/NNS NN
grahams	NN !graham/NNS NNS
grain	VV CD NN IN VVG NN !grain/NN JJ NN NN
grains	JJ NNS CD NN JJ !grain/NNS NN IN NN NN
gram	RB CD !gram/NN JJ NN JJ NN NN
grand	CD NN IN NN NN CC DT NN !grand/JJ NN
grande	CD NN IN NP !grande/NP NNS NN NNS
grandparents	NN NN !grandparent/NNS NN NNS
granola	JJ NN IN JJ NN NN CC JJ !granola/NN
grantchester	CD NN IN !grantchester/NN
graphic	VV CD NN IN WRB PP VVP CD !graphic/JJ NNS SYM RB TO CD NN IN NN NN
graphics	!graphics/NNS
gras	NN NNS !gras/NNS NN NN
grass	VV CD NN IN NN CD NN NN NN !grass/NN JJR CC NN
gratin	VV NN IN NN NN NN !gratin/NN JJ NN
grave	CD NN IN JJ NNS NN NN JJ !grave/JJ NN NN
gravity	CD NN IN NN NNS NN CD !gravity/NN NN
gray	NN !grey/JJ
great	NN NN !great/JJ JJ NN NN
greatest	DT !great/JJS NN NN IN JJ NN IN CD RB
greek	NN NN JJ NN IN NN !Greek/NN
green	!green/JJ NN NN
greenhouse	CD NN IN NN JJ VVD VV NN IN !greenhouse/NN NNS
greenpan	CD NN IN !greenpan/JJ NN NNS CC JJR
greens	JJ !green/NNS VVD JJ NN NNS NN
greeting	CD NN IN !greet/VVG NNS
greko	JJ NN JJ NN !greko/NN RB
grey	JJ !grey/NN
grid	VV CD NN IN NN NN NN NN !grid/NN JJ NN NNS
griddle	CD NN IN NN JJ !griddle/NN
griddler	VV CD NN IN DT NP !griddler/NN NN IN JJ NN IN JJ NN SYM JJ NN
griffin	CD NN IN NN NNS NNS NN NN !griffin/NN NN NN NN NN
griffith	CD NN IN DT JJ !griffith/NN NN
grill	CD NN IN VV CC VV !grille/NN NN VVD
grill/	CD NN IN JJ JJ NN !grill//NN NN
grillers	JJ JJ !griller/NNS CC NNS IN NN NN
grills	NN IN NN !grille/NNS
grimm	CD NN IN !Grimm/NP
grind	CD NN IN NN DT !grind/VV NN NN NN NN
grinder	VV CD NN IN JJ NN NN NN IN NN !grinder/NN NN
griots	CD NN IN !griots/NNS NN JJ NN NN
grip	VV CD NN IN NN RB !grippe/NN JJ NN VV
gro	VV NN IN !gro/NN NN
grocery	CD NN IN NN JJ NN NN NN SYM NP NN IN JJ NN IN JJ !grocery/NN NN
grommet	CD NN IN NN JJ NN JJ !grommet/NN JJ NN NN NNS
grooming	CD NN IN NN JJ !groom/VVG NN
groot	VV CD NN IN VV NNS IN DT NN NN !groot/NN
ground	NN VV NNS IN NP SYM JJ !ground/NN NN
group	NN NN !group/NN NN
groupon	!groupon/NN NN NNS
groups	NN NN !group/NNS
grout	VVP NN CC !grout/NN NN
grow	VV CD NN IN NN VVD !grow/VV JJ NN
growler	VV CD NN IN NP VVD !growler/NN IN NN NN
growth	VV NP JJ !growth/NN NN JJ CC NN NN NN IN JJ NN
grt	!grt/NN NN JJ NN
grylls	NN NN !grylls/NNS NN NN IN NN
gsk	!gsk/NN
gst	IN CD NNS RB VV RB DT !gst/NN SYM RB TO CD NN RB SYM JJ NN
gta	NN NNS IN DT !gta/NN
gu	VV NN NN !gu/NN NN NN NN NN IN NN NN NN JJR CC NN NN IN NN
guacamole	JJ !guacamole/NN CC NNS JJ NN NNS
guard	VV CD NN IN NN !guard/NN NN NN JJ JJ CC JJ NN NN
guardian	CD NN IN NN NN !guardian/NN
guardians	CD NN IN !guardian/NNS IN DT NN NN
guarding	VV CD NN IN JJR JJ JJ NN NN NN VVD IN NN JJ !guard/VVG NN
guardline	!guardline/JJ JJ NN NN NN NN IN NN
gucci	!Gucci/NP NP NN
gud	!gud/NN NN NN
guess	!guess/VV NN NNS
guide	VV CD NN IN JJ NN JJ JJ NN CD CC JJ !guide/NN NN JJ JJ NN
guides	NN NN !guide/NNS NN
guild	VVZ !guild/NN NNS CD NN CC NN
guillotine	VV CD NN IN JJ JJ NN !guillotine/NN JJR
guilty	VV DT JJ NN IN NP !guilty/JJ NN
guitar	VV CD NN IN NN NN JJ NP FW NP JJ !guitar/NN
guitars	CD NN IN JJ NN CC NN !guitar/NNS
gulp	JJ !gulp/NN
gum	JJ NN IN NN NN NN !gum/NN
gummi	VV CD NN IN DT !gummi/NN NNS
gummies	VV JJ IN NN NN !gummies/NNS
gun	VV CD NN IN JJ NN NN NN NN !gun/NN SYM NN JJ NN IN CD
gusto	VV DT CD NNS IN FW !gusto/NN NNS VVP DT FW NN NNS VVP VV NN NN RB
guys	VV NN !guy/NNS NN VVG NN NN CD CD NNS IN NN
gym	CD NN IN NN NN JJ !gym/NN
gym/	VV CD NN IN NN NN !gym//NN JJ NN NN
gymnastics	VV CD NN IN JJ NNS JJ NN NNS !gymnastics/NNS NN NN NN
gyro	NN NN !gyro/NN
gyros	VV CD !gyro/NNS
h&m	!h&m/NN NN NN NN
h1406	VV CD NN IN NN NN VVD NN VV NN !h1406/NN
h1476	VV CD NN IN NN NN NNS VVD NN NN !h1476/NN
ha0066	VV NN NN !ha0066/NN JJ NN JJ NN NN IN NN NN
haan	CD NN IN NN !haan/NN NNS IN NNS CC NNS
habanero	JJ !habanero/NN NN NN
habs	!habs/NNS
haggar	VV CD NN IN NP NNS IN !haggar/NN
hair	!hair/NN NN
haircare	VV CD NN IN JJ NN !haircare/NN NNS
haircuts	JJ !haircut/NNS IN JJ NN
haircutters	JJ NN !haircutters/NNS
half	VV CD !half/NN RP IN NN NN
half-off	DT NN VVD NN IN !half-off/NN
half-price	DT NNS !half-price/RB DT NN RB SYM JJ NN NN
hallmark	VV CD NN IN !hallmark/NN NN CD NN NN NN NNS NN
halloween	CD NN IN !halloween/NN NN
halloweens	NN NN NN !halloweens/NNS NNS
halls	!hall/NNS NN NNS
halo	CD NN IN !halo/NN NNS NN VVG NN NN
ham	NN VVZ !ham/NN NNS NN IN NN
hamilton	VV CD NN IN !hamilton/NN NN NN NN NN
hamilton-beach	VV CD NN IN !hamilton-beach/NN JJ NN CD NN NN
hamlet	CD NN IN NN !hamlet/NN NN NN NN VVD
hammaka	VV CD NN IN !hammaka/NN VVG NN NN NN
hammer	DT NN NN NN !hammer/NN NN NN IN DT NN
hammers	NP JJ !hammer/NNS
hammerstein	!hammerstein/NN NN CD NN IN NN NN NN VVG NN
hammock	VV CD NN IN JJ JJ JJ !hammock/NN NN IN CD NN CC VV NN
hampton	!hampton/NN NN NN NN NN NN IN NN
hand	!hand/NN NNS
hand-breaded	CD NNS IN NN !hand-breaded/JJ JJ NN NN IN JJ NN
hand-held	VV CD NN IN JJR !hand-held/JJ JJ NNS SYM JJ CD NN NP NN
hand-painted	CD NN IN !hand-painted/JJ JJ JJ NN NN NN
handbag	!handbag/NN
handbags	!handbag/NNS
handcrafted	!handcraft/VVN NN NN IN JJ NN
handcuts	NP JJ NN JJ !handcuts/NNS NNS
handheld	VV CD NN IN NN NN JJ NN !handheld/NN NN NN CD NN IN NN JJ JJ NN NP
handle	VV CD NN IN NP CD NN JJ NN JJ !handle/VVP NN NN
handmade	CD NN IN JJ !handmade/JJ NN
handout	NP JJ !handout/NN NNS
handouts	NP NP JJ JJ NNS !handout/NNS NNS IN JJ NN
hands	CD NN IN NN NNS JJ !hand/NNS JJ NN
handset	JJ NN CD NN !handset/NN JJ NN IN NN
handsome	DT !handsome/JJ NN NN CD NN NN
handtools	VV CD NN IN JJ NN !handtools/NNS
handy	VV CD NN IN NP !handy/JJ NN
hanes	CD NN IN !hanes/NNS NP JJ NN VVZ NN NNS
hang	VV CD NN IN JJ TO !hang/VV NN IN JJ VVP NNS
hanging	VV CD NN IN NN !hang/VVG NN NN NN
hanna	VV RB TO CD NN IN JJ !hanna/NN NN NNS
hanns-g	!hanns-g/NN CD NN IN NN
hansen	CD NN IN NN !hansen/NN NN NN VVD
hape	VV CD NN IN !hape/JJ JJ NNS JJ NN VVG NN IN
happily	CD NN IN NN NNS !happily/RB RB JJR
happy	NNS VVD !happy/JJ NN
harbour	JJ JJ !harbour/NN NN NN NN
hard	NN CD NN NN CD JJ !hard/JJ NN IN NN
hard-anodized	VV CD NN IN NN JJ !hard-anodized/JJ NN JJ NN NN
hard-side	JJ NN NN JJ NN CC NN !hard-side/NN
hardside	VV CD NN IN JJ JJR JJ JJ !hardside/NN NN NN
hardware	JJ CC NN !hardware/NN
hardwood	VV CD NN IN NN NN JJ !hardwood/NN JJ NN NN
harley	NN CC !Harley/NP NP NN
harley-davidson	JJ !harley-davidson/NN NNS JJ NN
harmony	VV CD NN IN !harmony/NN NN JJ JJ NN NN
harness	VV CD NN IN VVG NN VVG NN NN !harness/NN NN NN
harnessed	CD NN IN NN JJ NN !harness/VVD NN
harper	VV JJ NN !harper/NN IN NN
harry	VV CD NN IN !harry/VV NN
hart	VV !hart/NN TO NN
harvest	NN NN !harvest/NN NN
harveys	!harveys/NNS NN NNS
has	NNS NN !have/VHZ VVN PP$ JJ NNS JJ IN JJ CD
hasbro	RB TO CD NN IN JJ !hasbro/NN NNS
hash	!hash/VV JJ
hat	VV NN NN NN JJ NN JJ NN NN IN NN !hat/NN
hatch	NNS !hatch/VV NN
hatchimals	!hatchimals/NNS VV NN
hatching	VV CD NN IN NNS !hatch/VVG NN JJ NN VV JJ JJ NN IN NN NN
hatchy	VV CD NN IN NNS !hatchy/JJ JJ NN
hatley	!Hatley/NP NP NN NN
hats	NNS NN !hat/NNS
haul	NN NNS VVP NNS !haul/VV NP NN NN
haunt	VV DT NNS !haunt/VVP NN CC JJ NN NN IN NN WRB PP VVP IN NN
hauschka	!hauschka/NN CC JJR NNS
hausfeld	VV CD NN IN NP !Hausfeld/NP NN NN NN
have	VV CD NN IN NNS !have/VHP PP DT NN
haven	CD NN IN NN !haven/NN NN VVD JJ NN NN
hawaii	VV CD NN IN !Hawaii/NP NP
hawaiian	JJ NN CC !Hawaiian/JJ NN IN NN
hawkwell	!hawkwell/NP NP JJ NN
hawthorne	CD NN IN NN !Hawthorne/NN NN JJ NN NN VVD
hayes	VV CD NN IN NN !hayes/NNS JJ NN
hazard	NNS NNS VVD JJ TO JJ VVG !hazard/NN
hazelnut	JJ JJ !hazelnut/NN NN IN DT NN
hazzard	NN VV CD NN IN NNS IN !hazzard/NN
hbc	VV CD NN IN !hbc/NN NN NN NN VVP
hbo	VV IN CD NN !hbo/NN NN VVD NNS IN NN
hd	CD NN IN NN !hd/NN NN
hd-16	VV CD NN IN NN JJ !hd-16/NN NN
hd-280	NN !hd-280/NN JJ NN IN NN
hd598	VV CD NN IN NN !hd598/NN NN
hdb180-02	VV NN !hdb180-02/NN NP CD JJ JJ NN NN NN
hdmi	VV CD NN IN JJ !hdmi/NNS VVP NN NN IN JJ NN
hdr	CD NN IN NN CD NN !hdr/NN JJ NN NN
hdtv	NN CD VVN !hdtv/NN IN NN
head	VV CD NN IN JJ NN !head/NN NN NN
headband	NN !headband/NN NN IN JJ
headboard	NN !headboard/NN NN JJ RB
headboards	CD NN IN JJ !headboard/NNS
headlamp	VV CD NN IN NN NN JJ NN VVG VVN !headlight/NN
headline	NP !headline/NN NN NN NN IN NN
headphone	VV CD NN IN NN NN NN !headphone/NN
headphones	VV CD NN IN NN !headphones/NN
headquarters	CD NN IN NP JJ NN NNS NN !headquarters/NN IN NNS
headrest	VV CD NN IN NN NN JJ JJ NN NN NN IN JJ !headrest/NN CC NN
headrush	VV !headrush/NN JJ NN IN NN
headset	VV CD NN IN NN NN NN NN !headset/NN
headset-white	VV CD NN IN NNS NN CD NN !headset-white/NN
headsets	DT JJ NN SYM CD NN IN NN NNS NN !headset/NNS
headstrap	VV NN IN NN NN NN !headstrap/NN NN
headwear	VV CD CD NN IN !headwear/NN
health	VV CD NN IN JJ !health/NN
health&fitness	VV CD NN IN JJ !health&fitness/NN JJ JJ JJ NN NN
healthy	VV CD NN IN NN NN !healthy/JJ NN JJ NN
healthyessentials	NP JJ NN IN !healthyessentials/NNS
hearing	CD NN IN JJ NNS NN !hearing/NN NN
heart	CD NN IN NN NN CD !heart/NN NN CC NN NN
heart-rate	NN !heart-rate/NN NN IN NN IN NP NN
hearth	VV CD NN IN JJ !hearth/NN NN JJ JJ NN NN NN NN
heartlake	VV CD NN IN NN NNS !heartlake/NN NN NN NN $ CD NN IN NN NN JJ NN NN
heartland	CD NN IN !heartland/NN
hearts	JJ JJ !heart/NNS JJ NN NN
heat	NN NNS VVP DT !heat/NN NN
heated	!heated/JJ NN NNS
heater	!heater/NN JJ JJ NN NN NN
heaters	NN JJ JJ !heater/NNS SYM CD NN IN JJ NN VVN NNS
heatgear	IN NN NP !heatgear/NN NN NN IN NP
heaven	VV CD NN IN JJ !heaven/NN DT JJ NN
heavens	CD NN IN NN NN DT NN NN IN !heaven/NNS NN
heavy	VV CD NN IN NN !heavy/JJ NN NN NN
heavy-duty	CD NN IN JJ NN FW !heavy-duty/JJ JJ NN
heavyweight	!heavyweight/JJ NN
hedgiez	NN IN JJR !hedgiez/NN IN CD NN IN JJ NN
heel	MD NP NP NP JJ !heel/NN JJ NN NN NN
heels	!heel/NNS
heidi	!heidi/NNS IN JJ NN
height	NN !height/NN CD
heinz	!Heinz/NP NP NN NN
heirbls	VV CD NN IN !heirbls/NNS NN NN
held	CD NN IN JJ NN NN !hold/VVD NN NN
helicopter	VV CD NN IN NN NN JJ NNS NN !helicopter/NN NN NN
helix	NN NN !helix/NN JJ JJ JJ NN
hellmanns	!hellmanns/NNS NN
hello	CD NN IN !hello/NN NN CD NNS NN
helmet	VV CD NN IN NN NN NN NN VVG VVG !helmet/NN
helmets	!helmet/NNS
help	!help/VV VV DT NNS NN RP
hemisphere	VV CD NN IN NN !hemisphere/NN NN NN
hemnes	!hemnes/NNS NNS VVD NN IN CD NNS IN NN
hemp	JJ JJ !hemp/NN NN
henckel	JJ JJ JJ JJ !henckel/NN JJ NN VVN IN CD NN RP
henckels	VV CD NN IN VVG JJ JJ !henckels/NNS NN NNS
henleys	!henleys/NNS
henry	NP NNS CC !henry/NN NNS
henrys	!Henrys/NPS
henscoqi	VV CD NN IN !henscoqi/NP JJ NN NN JJ NN NN NN NN JJ NN CD NN NN JJ NN VVD
hepa	CD NN IN NP JJ !hepa/NN JJ NN NN NNS
hepatitis	VBZ VVG NN NN VVN NNS JJ TO !hepatitis/NN DT
her	VV CD NN IN NNS NN NN NNS IN !her/PP
herb	IN NN !herb/NN NN NN NN
herbal	VV NN IN JJ NN NN !herbal/JJ NN
herbamare	DT NN !herbamare/NN
herbs	JJ NN NNS !herb/NNS NNS
hercules	CD NN IN !Hercule/NNS NN NN NN IN NN
here	VV JJ NN CD NN NNS NN !here/RB TO VV DT NN NN RB TO VV NNS NN NN
heres	VV CD NN IN !heres/NN NN
heritage	VV CD NN IN !heritage/NN VVG NNS
hero	CD NN IN NP JJ !hero/NN NNS NN NN IN NNS
hero3+	CD NN IN NN !hero3+/NN JJ NN NN
hero4	VV NN IN NN !hero4/NN NN NN NN
heroes	CD NN IN NN !hero/NNS NNS NN NN NN NN NN NN NN
hershey	VV CD NN IN !hershey/NN NNS
hersheys	CD NN IN !hersheys/NNS NN NN NNS JJ
hertel	!hertel/NN JJR NNS
hetty	VV IN CD NN !hetty/NN NP VVZ
hex-logic	VV NN NNS !hex-logic/NN VVG NN NN CD CD NNS IN NN
heys	!hay/NNS
hf3470/	NNS !hf3470//JJ CD JJ NN IN NN
hi-loft	JJ NNS !hi-loft/NN NN JJ NN NN NN SYM CD NN IN NNS
hi-res	VV CD NN IN JJ NN !hi-res/NNS JJ NN NN
hi-rise	NN !hi-rise/NN JJ NN
hickory	!hickory/NN VVZ NN NNS NN IN NN
hidden	MD !hidden/JJ JJ NNS
hide	VV CD NN IN JJ NNS !hide/VV CC VV NN
hideout	CD NN IN NN NN DT NN !hideout/NN NN NN
hidextra	!hidextra/NP JJ NN NNS
high	CD NN IN NN NN !high/JJ NN
high-back	VV NN IN NN JJ JJ !high-back/NN NN NN NN
high-performance	CD NN IN JJ !high-performance/JJ NN NN NN NNS
high-resolution	CD !high-resolution/NN NN IN JJ NN
high-speed	VV CD NN IN JJ NN !high-speed/JJ
highly-rated	NN JJ NN NN SYM !highly-rated/JJ VV NNS
highwood	VV CD NN IN !highwood/NN JJ NN NN
hiking	VV RB TO CD NN IN !hike/VVG NN
hilfige	NN !hilfige/NN NN NN NNS NN
hilfiger	NN !hilfiger/NN NN NN
hilips	!hilips/JJ NN JJ VVG NN IN NN
hill	VV CD NN IN CD NN !hill/NN
hillbilly	VV CD NN IN !hillbilly/NN NN
hillcrest	JJ JJ NN !hillcrest/NN NN NN
hillfiger	VV NN !hillfiger/NN NN NN NNS
hills	NP NP !hill/NNS
hilroy	NN NNS RB TO NN NNS NNS VV CD NN IN !hilroy/NN NN NN NN NN
hilton	!hilton/NN NNS NNS
him	JJ NN IN !him/PP
himalayan	CD NN IN NN CD !himalayan/NN NN JJ NN VVG
hines	JJ IN NN !hines/NNS VVD NN NN NN
hipping	JJ NNS VVD NN NN NN JJ NN NN IN JJ !hipping/NN
hippo	CD NN IN NP NP VVG JJ !hippo/NN
hipstreet	VV !hipstreet/NN CD NNS NN IN NN IN NN
hisense	!hisense/NN NN
historic	VV NN !historic/JJ NN
history	CD NN IN JJ !history/NN NNS IN VV
hit	CD NN IN JJ NNS NNS RB !hit/VVD NN NN
hitachi	!Hitachi/NP JJ NNS
hitchcock	VV CD NN IN NP !hitchcock/NN
hitman	!hitman/NP NN IN NN
hitmans	VV CD NN IN NNS DT JJ NN SYM CD NN IN DT !hitmans/NNS NN
hits	VV CD NN IN NN NN !hit/VVZ JJ JJ NN NN
hl-colour	CD NN IN NN !hl-colour/NN NN NN
hl-l5200dw	VV CD NN IN NN !hl-l5200dw/JJ NN JJ NN NN
hl3140cw	VV CD NN IN NN NN !hl3140cw/JJ JJ NN NN NN IN NN NN
hm	CD NN IN NN NN !hm/NN NN NN VVD
hmv	!hmv/NN
hobbit	VV CD NN IN DT !hobbit/NN NN VVD NN
hobo	VV NN JJ !hobo/NN NN NN
hockey	VV CD NN IN NNS !hockey/NN NN
hocking	VV CD NN IN NN NN !hock/VVG NN NN VVN IN JJ NN
hogs	CD NN IN NN !hog/NNS
hogwarts	VV CD NN IN VV NN !hogwarts/NNS NN
holder	VV CD NN IN NNS NN NNS NN NN !holder/NN
holders	CD NN IN NN !holder/NNS
holiday	NN NN !holiday/NN NNS NNS
holidays	MD !holiday/NNS NNS IN DT NN
holista	CD NN IN !holista/NN
holla	NNS VVD CD NN !hollo/NN NN NN
holliday	VV CD NN IN NN IN NN !holliday/NN NN NNS SYM CD NN IN NNS
hollister	!hollister/JJR NN NN NN
hollow	VV CD NN IN NP CD NN JJ NN !hollow/JJ VVP NN NN
hollywood	VV NN NN NN JJ !hollywood/NN JJ NN NN IN NN NN
holmes	CD NN IN NP !Holmes/NP
holmo	!holmo/NN NN NN IN NN
holt	!holt/NN NN
holy	CD NN IN !holy/JJ NN JJ NN NN JJ NN NNS
homasy	VV CD NN IN !homasy/JJ JJ NN JJ NN JJR
home	!home/NN NNS
home/	RB JJ IN JJ !home//JJ NN NNS JJ NN NN
homebaker	VV CD NN IN NN NN !homebaker/NN NN
homecoming	!homecoming/NN NN
homedics	VV NN IN !homedics/NN NN NN JJ JJ NN NN
homefavor	VV CD NN IN NN !homefavor/NN JJ NN NN NNS VVN
homeloaf	NN !homeloaf/NN IN NN RB
homeloaves	NN CC NN NN CC CD NN !homeloaves/NNS
homes	VV CD NN IN NN !home/NNS IN NNS NN JJ JJ NN NN
homesav	!homesav/NP NP NN
homestarry	VV CD NN IN !homestarry/NN VVD NN NNS NN VVN NN NNS
homestyle	!homestyle/JJ JJ NN NN IN NN
hometrends	VV CD NN IN !hometrends/NN NN NN NNS
hometrendssedgwick	CD NN IN !hometrendssedgwick/NN NN NN
homgeek	!homgeek/JJ JJ NN NN IN NN
hone	VV CD NN IN NN !hone/NN
honest	VV NN IN !honest/JJ NN NN NN NNS
honey	!honey/NN JJ VVN NN NN NN IN NN
honeywell	CD NN IN !Honeywell/NP JJ NN JJ NN NN NNS
hong	VV JJ NN NNS NN NN IN !hong/NN NNS
honor	VV NN IN NN IN !honor/NN
